1,0,7322.51531,71e-5
1,2,7325.5391,0.001
1,4,7328.5586,0.0013
1,6,7331.5816,0.001
1,8,7334.6048,17e-5
1,10,7337.62644,92e-5
1,12,7340.6482,0.0014
1,15,7345.18028,8e-4
1,26,7361.79945,28e-5
1,28,7364.82173,77e-5
1,78,7440.36492,2e-4
1,86,7452.45228,14e-5
1,93,7463.02847,19e-5
1,124,7509.8646,0.0021
1,126,7512.88731,29e-5
1,163,7568.7888,0.001
1,175,7586.91824,64e-5
1,177,7589.93922,92e-5
1,183,7599.0064,21e-5
1,185,7602.02805,71e-5
1,192,7612.60595,85e-5
1,194,7615.6271,0.0016
1,200,7624.69094,66e-5
1,214,7645.844,0.0011
1,218,7651.88743,22e-5
1,219,7653.39809,26e-5
1,220,7654.90908,84e-5
1,221,7656.419,29e-5
1,222,7657.93129,2e-4
1,223,7659.44144,17e-5
1,224,7660.95205,35e-5
1,225,7662.46358,2e-4
1,226,7663.97492,7e-4
1,227,7665.48509,17e-5
1,228,7666.99567,25e-5
1,229,7668.50668,3e-4
1,230,7670.01766,34e-5
1,231,7671.52876,33e-5
1,264,7721.38747,35e-5
1,276,7739.51769856,585e-6
1,277,7741.02787134,545e-6
1,278,7742.53917841,58e-5
1,279,7744.05089378,615e-6
1,280,7745.56163859,72e-5
1,281,7747.07208022,845e-6
1,282,7748.58446499,87e-5
1,283,7750.09387196,885e-6
1,284,7751.60534962,825e-6
1,285,7753.11622709,75e-5
1,286,7754.62804245,77e-5
1,287,7756.13856049,605e-6
1,288,7757.64839752,89e-5
1,289,7759.15953334,73e-5
1,290,7760.67112438,82e-5
1,291,7762.18119585,735e-6
1,292,7763.69220689,71e-5
1,293,7765.20297636,77e-5
1,294,7766.71479239,55e-5
1,295,7768.22513553,0.001025
1,296,7769.73704291,635e-6
1,297,7771.24778221,91e-5
1,298,7772.75738408,75e-5
1,299,7774.2684142,8e-4
1,300,7775.77994891,58e-5
1,301,7777.28899497,99e-5
1,302,7778.80118194,62e-5
1,303,7780.31296762,68e-5
1,304,7781.8223061,0.00145
1,305,7783.33409821,71e-5
1,306,7784.84372221,68e-5
1,311,7792.39978611,0.0011
1,312,7793.90954978,635e-6
1,313,7795.41987464,58e-5
1,314,7796.93134057,65e-5
1,315,7798.44210655,615e-6
1,316,7799.95319525,83e-5
1,317,7801.4631374,0.001265
